Room Number,Lines 84-101 Monster 1,Monster 1 Status (Persistent/Unique),Monster 1 Drop Item,Monster 2,Monster 2 Status (Persistent/Unique),Monster 2 Drop Item,Monster 3,Monster 3 Status (Persistent/Unique),Monster 3 Drop Item,Monster 4,Monster 4 Status (Persistent/Unique),Monster 4 Drop Item,Monster 5,Monster 5 Status (Persistent/Unique),Monster 5 Drop Item,Monster 6,Monster 6 Status (Persistent/Unique),Monster 6 Drop Item
7503,Spectre of Kaos,Persistent,,2Kaotic Vision,Persistent,,,,,,,,,,,,,
7506,2Spectre of Kaos,Persistent,,,,,,,,,,,,,,,,
7510,Spectre of Kaos,Persistent,,Kaotic Vision,Persistent,,,,,,,,,,,,,
7513,2Kaosian Initiate,Persistent,,,,,,,,,,,,,,,,
7516,Spectre of Kaos,Persistent,,,,,,,,,,,,,,,,
7520,Kaosian Initiate,Persistent,,Kaotic Vision,Persistent,,,,,,,,,,,,,
7525,Kaosian Progressive,Persistent,,Kaosian Initiate,Persistent,,,,,,,,,,,,,
7530,Kaosian Progressive,Persistent,,2Kaosian Initiate,Persistent,,,,,,,,,,,,,
7534,2Kaosian Progressive,Persistent,,,,,,,,,,,,,,,,
7542,Kaosian Progressive,Persistent,,Kaotic Vision,Persistent,,,,,,,,,,,,,
7541,Kaosian Vituoso,Persistent,,Kaosian Progressive,Persistent,,Kaosian Initiate,Persistent,,,,,,,,,,
7545,Kaosian Virtuoso,Persistent,,Kaosian Progressive,Persistent,,,,,,,,,,,,,
7548,2Kaosian Virtuoso,Persistent,,Kaosian Progressive,Persistent,,,,,,,,,,,,,
7551,Kaosian Master,Persistent,,Kaosian Virtuoso,Persistent,,Kaosian Progressive,Persistent,,,,,,,,,,
7553,2Kaosian Master,Persistent,,Kaosian Virtuoso,Persistent,,,,,,,,,,,,,
7560,Kaosian Virtuoso,Persistent,,Kaotic Vision,Persistent,,Spectre of Kaos,Persistent,,,,,,,,,,
7563,Monk of Kaos,Persistent,,Kaosian Virtuoso,Persistent,,,,,,,,,,,,,
7566,Kaosian Master,Persistent,,Kaotic Vision,Persistent,,,,,,,,,,,,,
7569,Kaosian Friar,Persistent,,Monk of Kaos,Persistent,,,,,,,,,,,,,
7573,2Kaosian Hermit,Persistent,,Kaotic Vision,Persistent,,,,,,,,,,,,,
7587,2Kaotic Vision,Persistent,,2Spectre of Kaos,Persistent,,,,,,,,,,,,,
7590,Kaosian Friar,Persistent,,Monk of Kaos,Persistent,,,,,,,,,,,,,
7593,Koasion Cynic,Persistent,,Kaosian Hermit,Persistent,,,,,,,,,,,,,
7596,Kaosian Friar,Persistent,,Kaosian Cynic,Persistent,,Spectre of Kaos,Persistent,,,,,,,,,,
7581,Dichotomia Concordia Kaotica,Persistent,,,,,,,,,,,,,,,,
7582,Anima Clavis Kaotica,Persistent,,,,,,,,,,,,,,,,
7593,Dichotomia Khaos Kaotica,Persistent,,,,,,,,,,,,,,,,
7604,Kaotic Heretic,Persistent,,Kaosian Virtuoso,Persistent,,,,,,,,,,,,,
7607,Kaotic Heretic ,Persistent,,2Spectre of Kaos,Persistent,,,,,,,,,,,,,
7610,Kaosian Soothsayer,Persistent,,Kaosian Master,Persistent,,Kaotic Vision,Persistent,,,,,,,,,,
7616,Kaosian Hermit,Persistent,,Kaosian Cynic,Persistent,,Kaosian Heretic,Persistent,,Kaosian Soothsayer,Persistent,,,,,,,
7618,2Kaotic Heretic,Persistent,,Spectre of Kaos,Persistent,,,,,,,,,,,,,
7621,Kaosian Soothsayer,Persistent,,Kaotic Heretic,Persistent,,Spectre of Kaos,Persistent,,,,,,,,,,
7632,Kaosian Soothsayer,Persistent,,Spectre of Kaos,Persistent,,,,,,,,,,,,,
7636,Anchorite,Persistent,,Kaosian Priest,Persistent,,Kaotic Vision,Persistent,,,,,,,,,,
7639,2Kaosian Priest,Persistent,,,,,,,,,,,,,,,,
7642,Kaosian Soothsayer,Persistent,,Anchorite,Persistent,,,,,,,,,,,,,
7644,Spectre of Kaos,Persistent,,Kaotic Vision,Persistent,,,,,,,,,,,,,
7646,Monk of Kaos,Persistent,,Kaosian Friar,Persistent,,Kaosian Priest,Persistent,,Kaosian Anchorite,Persistent,,,,,,,
7648,2Anchorite,Persistent,,,,,,,,,,,,,,,,
7650,Anchorite,Persistent,,Kaosian Soothsayer,Persistent,,,,,,,,,,,,,
7653,Kaosian Virtuoso,Persistent,,Spectre of Kaos,Persistent,,,,,,,,,,,,,
7656,Spectre of Kaos,Persistent,,Kaotic Vision,Persistent,,,,,,,,,,,,,
7659,Kaosian Initiate,Persistent,,Kaosian Progressive,Persistent,,Kaosian Virtuoso,Persistent,,Kaosian Master,Persistent,,,,,,,
7626,Kaosian Soothsayer,Persistent,,Kaosian Master,Persistent,,Anchorite,Persistent,,,,,,,,,,
7628,Angelus Kaotic,Persistent,,Anchorite,Persistent,,,,,,,,,,,,,
7630,Angelus Kaotic,Persistent,,Kaotic Disciple,Persistent,,,,,,,,,,,,,
7631,The Prophet of Kaos,Unique,,Angels Kaotic,Persistent,,Kaotic Disciple,Persistent,,,,,,,,,,
