ITEM NAME,ITEM PICTURE,ITEM TYPE (One letter),ITEM CLASS,ITEM RESTRICTION,Decked (Yes/No),DAM MIN (no enchants),DAM MAX (no enchants),BONUS TYPE,BONUS AMOUNT,DESCRIPTION,CRAFT DESC,CRAFT LOCATION,CRAFT REQ#0 PREVIOUS TIER,CRAFT REQ#1,CRAFT REQ#2,CRAFT REQ#3,CRAFT REQ#4,CRAFT REQ#5,CRAFT REQ#6,CRAFT REQ#7,CRAFT REQ#8,CRAFT REQ#9,CRAFT REQ#10,11,Price,ITEM NAME,PARENT,TOOLTIP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rusty Short Sword,9,A,A,A,Yes,5,10,,,"""The inevitable result of leaving weaponry exposed to the erosive nature of weather, this short sword has been dulled with rust. It is hard to imagine that it will do much damage at all.""",,,,,,,,,,,,,,,50,Rusty Short Sword,,
Dull Short Sword,9,A,A,A,Yes,6,11,,,"""Clean and shiny this sword may be, but it's still about as sharp as an intoxicated troll.""",Using the materials you've gathered you craft together a new weapon!,TerraCraftsW1,Rusty Short Sword,Jug of Ooze Paste,,,,,,,,,,,50,Dull Short Sword,Rusty Short Sword,
Small Sword,9,A,A,A,Yes,7,11,,,"""Barely larger than a dagger, this sword is very sharp and deceptively dangerous.""",Using the materials you've gathered you craft together a new weapon!,TerraCraftsW1,Dull Short Sword,Jug of Ooze Paste,Jug of Ooze Paste,,,,,,,,,,250,Small Sword,Dull Short Sword,
Bow,281,A,A,A,Yes,7,12,,,"""Made from a sturdy fallen branch which was whittled, soaked, and bent to proper form, this particular bow is a simple but effective ranged weapon.""",Using the materials you've gathered you craft together a new weapon!,StalkerCrafts,Dull Short Sword,Ball of Cotton Thread,Ball of Cotton Thread,,,,,,,,,,250,Bow,Dull Short Sword,
Longsword,9,A,Ranger,A,Yes,8,13,,,"""Standard military grade weaponry produced en masse by the Syndarian Army for a large campaign against the trolls in the past. Though of mediocre value, anyone who has been killed by such a sword can tell you they are effective enough in battle.""",Using the materials you've gathered you craft together a new weapon!,THCraftsW1,Small Sword,Jug of Ooze Paste,Jug of Ooze Paste,Crate of Stone Blocks,,,,,,,Emerald,,500,Longsword,Small Sword,
Axe,31,A,B,GT,Yes,8,13,,,"""A chunk of sharpened metal bound with leather to 3 foot length of wood, this axe is very simple and very effective in battle.""",Using the materials you've gathered you craft together a new weapon!,THCraftsW1,Small Sword,Jug of Ooze Paste,Jug of Ooze Paste,Basket of Bones,,,,,,,Ruby,,500,Axe,Small Sword,
Pole-Arm,1,A,A,A,Yes,8,13,,,"""This weapon, designed for close combat is comprised of a long wooden pole with an attached metal plate and sharpened edge, increasing reach and striking power when swung.""",Using the materials you've gathered you craft together a new weapon!,DuskanCraftsW1,Small Sword,Jug of Ooze Paste,Jug of Ooze Paste,Bundle of Sylvian Lumber,,,,,,,Amethyst,,500,Pole-Arm,Small Sword,
Longbow,281,A,Ranger,A,Yes,8,13,,,"""This bow is as tall as its wielder and capable of firing armor piercing arrows at tremendous speeds and over great distances.""",Using the materials you've gathered you craft together a new weapon!,DuskanCraftsW1,Bow,Ball of Cotton Thread,Ball of Cotton Thread,Bundle of Sylvian Lumber,,,,,,,Topaz,,500,Longbow,Bow,
Blessed Sabre,142,A,A,A,Yes,8,13,Evil,10,"""An exquisite hilt with an engraved hand guard tapers away into a thin, subtly curved blade that radiates with holy magic.""",Using the materials you've gathered you craft together a new weapon!,MorduCraftsW1,Longsword,Jug of Ooze Paste,Jug of Ooze Paste,Crate of Stone Blocks,Crate of Stone Blocks,Brilliant Box,Crystalline Shard,Holy Aura,,,Malachite,,1000,Blessed Sabre,Longsword,
